IDuser,CustomerName,Location,IDhotel,NameHotel,Rating,Date
5140,Ngo H. L.,Đà Lạt,277,Khách sạn La Sapinette Đà Lạt,6.3,2011-10-15
2059,Ha X. L.,Vũng Tàu,256,Khách sạn Green Vũng Tàu,6.7,2011-11-16
7845,Thanh L. T.,Phú Quốc,171,Khu nghỉ dưỡng Kim Hoa Phú Quốc,7.3,2012-01-05
9689,Truc T. P.,Phan Thiết,182,Khu nghỉ dưỡng Minh Tâm Beach Phan Thiết,7,2012-01-05
3040,Huyen N. T.,Phú Quốc,150,Khu nghỉ dưỡng Arcadia Phú Quốc,6,2012-01-06
5525,Nguyen H. D. H. T. Y.,Phan Thiết,182,Khu nghỉ dưỡng Minh Tâm Beach Phan Thiết,6,2012-01-07
7912,Thanh T. P.,Phú Quốc,171,Khu nghỉ dưỡng Kim Hoa Phú Quốc,7,2012-01-07
2227,Hao H. H.,Đà Lạt,350,Khách sạn TTC - Ngọc Lan Đà Lạt,6,2012-01-08
3827,Le H.,Đà Lạt,378,Khách sạn Đà Lạt Palace Heritage,6,2012-01-08
3956,Le N. T. Q.,Đà Lạt,366,Khách sạn Vietsovpetro Đà Lạt,7.3,2012-02-04
5272,Ngoc H.,Phan Thiết,182,Khu nghỉ dưỡng Minh Tâm Beach Phan Thiết,6,2012-02-07
5822,Nguyen T.,Đà Lạt,308,Khách sạn Mường Thanh Đà Lạt,6,2012-02-08
5517,Nguyen H. A. T.,Huế,552,Vedana Lagoon Resort & Spa Huế,8.3,2012-02-08
424,Bui T. L.,Vũng Tàu,205,Khu nghỉ dưỡng Seaside Vũng Tàu,5.7,2012-03-07
5754,Nguyen N. T.,Vũng Tàu,141,Khu nghỉ dưỡng & biệt thự Sanctuary Hồ Tràm,6.7,2012-03-08
5961,Nguyen T. T. H.,Đà Lạt,334,Khách sạn Rum Vàng Đà Lạt,6.7,2012-03-16
8755,Thuy T.,Phú Quốc,150,Khu nghỉ dưỡng Arcadia Phú Quốc,6,2012-04-30
7716,Thai T. C.,Đà Lạt,359,Khách sạn Thi Thảo - Gardenia Đà Lạt,6,2012-05-06
6977,Phuoc D. V.,Huế,460,Pilgrimage Village Resort & Spa Huế,9,2012-05-07
1457,Doan T.,Vũng Tàu,236,Khách sạn Corvin Vũng Tàu,6.3,2012-05-11
3776,Le B. A.,Đà Lạt,359,Khách sạn Thi Thảo - Gardenia Đà Lạt,6,2012-05-23
5384,Ngoc T. N.,Phú Quốc,171,Khu nghỉ dưỡng Kim Hoa Phú Quốc,6,2012-05-24
7261,Quoc K. T.,Phú Quốc,150,Khu nghỉ dưỡng Arcadia Phú Quốc,7,2012-05-24
5752,Nguyen N. Q. T.,Đà Lạt,366,Khách sạn Vietsovpetro Đà Lạt,6,2012-05-24
5711,Nguyen N. B. H.,Đà Lạt,359,Khách sạn Thi Thảo - Gardenia Đà Lạt,6,2012-05-28
4900,My K. P.,Phú Quốc,171,Khu nghỉ dưỡng Kim Hoa Phú Quốc,6.7,2012-05-31
3423,Khanh T. N.,Phú Quốc,150,Khu nghỉ dưỡng Arcadia Phú Quốc,6,2012-05-31
7674,Thach B. L.,Đà Lạt,334,Khách sạn Rum Vàng Đà Lạt,6,2012-06-06
4760,Minh M.,Đà Nẵng,252,Khách sạn Gold Đà Nẵng,7.7,2012-06-06
1452,Doan P.,Huế,552,Vedana Lagoon Resort & Spa Huế,9,2012-06-07
9325,Tran T. H.,Đà Lạt,366,Khách sạn Vietsovpetro Đà Lạt,6,2012-06-14
3783,Le B. Q.,Vũng Tàu,329,Khách sạn Romeliess Vũng Tàu,6,2012-06-14
5920,Nguyen T. N. H.,Phan Thiết,182,Khu nghỉ dưỡng Minh Tâm Beach Phan Thiết,6,2012-06-20
4120,Le X.,Đà Lạt,366,Khách sạn Vietsovpetro Đà Lạt,6,2012-06-20
9249,Tran N. Q. T.,Đà Lạt,359,Khách sạn Thi Thảo - Gardenia Đà Lạt,6.7,2012-06-22
2096,Hai N.,Đà Nẵng,252,Khách sạn Gold Đà Nẵng,7.7,2012-06-28
5857,Nguyen T. H.,Đà Lạt,350,Khách sạn TTC - Ngọc Lan Đà Lạt,6,2012-07-08
5283,Ngoc H. L.,Huế,552,Vedana Lagoon Resort & Spa Huế,9.3,2012-07-09
5954,Nguyen T. T.,Vũng Tàu,329,Khách sạn Romeliess Vũng Tàu,6,2012-07-17
5700,Nguyen M. T.,Đà Lạt,378,Khách sạn Đà Lạt Palace Heritage,7.3,2012-07-17
2725,Hoc L.,Đà Lạt,350,Khách sạn TTC - Ngọc Lan Đà Lạt,6,2012-07-18
7684,Thai H.,Đà Lạt,277,Khách sạn La Sapinette Đà Lạt,6,2012-07-18
9325,Tran T. H.,Đà Lạt,378,Khách sạn Đà Lạt Palace Heritage,6.7,2012-07-19
9186,Tran L. Q.,Đà Lạt,277,Khách sạn La Sapinette Đà Lạt,6,2012-07-19
7768,Thang N.,Đà Lạt,277,Khách sạn La Sapinette Đà Lạt,6,2012-07-20
4483,Ly H.,Vũng Tàu,329,Khách sạn Romeliess Vũng Tàu,6.7,2012-07-20
3787,Le B. V.,Đà Lạt,350,Khách sạn TTC - Ngọc Lan Đà Lạt,6,2012-07-24
3997,Le T.,Đà Lạt,378,Khách sạn Đà Lạt Palace Heritage,6.3,2012-08-08
5754,Nguyen N. T.,Phú Quốc,171,Khu nghỉ dưỡng Kim Hoa Phú Quốc,6.7,2012-08-09
5807,Nguyen Q. D.,Vũng Tàu,205,Khu nghỉ dưỡng Seaside Vũng Tàu,6.7,2012-08-09
4025,Le T. H. N.,Vũng Tàu,269,Khách sạn Imperial Vũng Tàu,8.7,2012-08-14
4104,Le V.,Vũng Tàu,141,Khu nghỉ dưỡng & biệt thự Sanctuary Hồ Tràm,6.3,2012-08-14
9295,Tran Q. Q.,Đà Lạt,277,Khách sạn La Sapinette Đà Lạt,6,2012-08-15
4568,Mai H. M. P.,Vũng Tàu,329,Khách sạn Romeliess Vũng Tàu,7.7,2012-08-15
4715,Minh H.,Đà Lạt,350,Khách sạn TTC - Ngọc Lan Đà Lạt,6,2012-08-16
3907,Le M. H.,Vũng Tàu,141,Khu nghỉ dưỡng & biệt thự Sanctuary Hồ Tràm,6,2012-08-16
10328,Viet H. N.,Huế,552,Vedana Lagoon Resort & Spa Huế,9.7,2012-08-21
2031,Ha T.,Đà Lạt,308,Khách sạn Mường Thanh Đà Lạt,6,2012-08-22
2147,Hang D. T.,Huế,460,Pilgrimage Village Resort & Spa Huế,9.3,2012-08-22
5232,Ngo T. V. T.,Huế,552,Vedana Lagoon Resort & Spa Huế,9,2012-08-22
9169,Tran L. H.,Vũng Tàu,141,Khu nghỉ dưỡng & biệt thự Sanctuary Hồ Tràm,6,2012-08-22
3917,Le N. A.,Đà Lạt,308,Khách sạn Mường Thanh Đà Lạt,6,2012-10-07
6006,Nguyen V. H.,Đà Lạt,308,Khách sạn Mường Thanh Đà Lạt,6,2012-11-07
9435,Tran Y. N.,Phan Thiết,202,Khu nghỉ dưỡng Rock Water Bay Phan Thiết,8,2012-11-24
3878,Le K. Q.,Huế,552,Vedana Lagoon Resort & Spa Huế,9.7,2012-11-24
1748,Duong T. M. N.,Vũng Tàu,236,Khách sạn Corvin Vũng Tàu,6,2012-11-24
5559,Nguyen H. N.,Phan Thiết,530,The Cliff Resort & Residences Phan Thiết,7.7,2012-11-24
5722,Nguyen N. H.,Vũng Tàu,329,Khách sạn Romeliess Vũng Tàu,6,2012-12-06
9381,Tran T. Q.,Đà Lạt,359,Khách sạn Thi Thảo - Gardenia Đà Lạt,6,2012-12-06
3920,Le N. B.,Đà Lạt,366,Khách sạn Vietsovpetro Đà Lạt,6,2012-12-06
6671,Pham V. T.,Vũng Tàu,236,Khách sạn Corvin Vũng Tàu,7.3,2012-12-12
2430,Ho T. T. T.,Phan Thiết,188,Khu nghỉ dưỡng Novela Phan Thiết,6,2013-01-04
10594,Vu M. H.,Đà Lạt,404,Lys Villa Đà Lạt ( tên cũ Reveto Villa Đà Lạt),5.7,2013-01-04
5217,Ngo T. P.,Phan Thiết,185,Khu nghỉ dưỡng Muine Bay Phan Thiết,6,2013-01-05
6473,Pham H. N.,Nha Trang,372,Khách sạn Yasaka Sài Gòn Nha Trang,7,2013-01-05
2511,Hoang A. T.,Đà Lạt,260,Khách sạn Hoa Sen 62 Đà Lạt,6,2013-01-25
9258,Tran N. T. T.,Nha Trang,179,Khu nghỉ dưỡng MerPerle Hòn Tằm Nha Trang,6.7,2013-02-04
6024,Nguyen V. Q.,Vũng Tàu,236,Khách sạn Corvin Vũng Tàu,6,2013-02-04
5853,Nguyen T. D. T.,Vũng Tàu,205,Khu nghỉ dưỡng Seaside Vũng Tàu,7.7,2013-02-05
