IDuser,IDhotel,Rating,Date
5140,277,6.3,2011-10-15
2059,256,6.7,2011-11-16
7845,171,7.3,2012-01-05
9689,182,7,2012-01-05
3040,150,6,2012-01-06
5525,182,6,2012-01-07
7912,171,7,2012-01-07
2227,350,6,2012-01-08
3827,378,6,2012-01-08
3956,366,7.3,2012-02-04
5272,182,6,2012-02-07
5822,308,6,2012-02-08
5517,552,8.3,2012-02-08
424,205,5.7,2012-03-07
5754,141,6.7,2012-03-08
5961,334,6.7,2012-03-16
8755,150,6,2012-04-30
7716,359,6,2012-05-06
6977,460,9,2012-05-07
1457,236,6.3,2012-05-11
3776,359,6,2012-05-23
5384,171,6,2012-05-24
7261,150,7,2012-05-24
5752,366,6,2012-05-24
5711,359,6,2012-05-28
4900,171,6.7,2012-05-31
3423,150,6,2012-05-31
7674,334,6,2012-06-06
4760,252,7.7,2012-06-06
1452,552,9,2012-06-07
9325,366,6,2012-06-14
3783,329,6,2012-06-14
5920,182,6,2012-06-20
4120,366,6,2012-06-20
9249,359,6.7,2012-06-22
2096,252,7.7,2012-06-28
5857,350,6,2012-07-08
5283,552,9.3,2012-07-09
5954,329,6,2012-07-17
5700,378,7.3,2012-07-17
2725,350,6,2012-07-18
7684,277,6,2012-07-18
9325,378,6.7,2012-07-19
9186,277,6,2012-07-19
7768,277,6,2012-07-20
4483,329,6.7,2012-07-20
3787,350,6,2012-07-24
3997,378,6.3,2012-08-08
5754,171,6.7,2012-08-09
5807,205,6.7,2012-08-09
4025,269,8.7,2012-08-14
4104,141,6.3,2012-08-14
9295,277,6,2012-08-15
4568,329,7.7,2012-08-15
4715,350,6,2012-08-16
3907,141,6,2012-08-16
10328,552,9.7,2012-08-21
2031,308,6,2012-08-22
2147,460,9.3,2012-08-22
5232,552,9,2012-08-22
9169,141,6,2012-08-22
3917,308,6,2012-10-07
6006,308,6,2012-11-07
9435,202,8,2012-11-24
3878,552,9.7,2012-11-24
1748,236,6,2012-11-24
5559,530,7.7,2012-11-24
5722,329,6,2012-12-06
9381,359,6,2012-12-06
3920,366,6,2012-12-06
6671,236,7.3,2012-12-12
2430,188,6,2013-01-04
10594,404,5.7,2013-01-04
5217,185,6,2013-01-05
6473,372,7,2013-01-05
2511,260,6,2013-01-25
9258,179,6.7,2013-02-04
6024,236,6,2013-02-04
5853,205,7.7,2013-02-05
1969,231,6.7,2013-02-05
5932,236,6,2013-02-07
8981,236,6,2013-02-11
3940,350,8.7,2013-02-27
6039,372,6.7,2013-03-06
9849,308,7,2013-03-12
6614,317,6,2013-03-15
10556,236,7,2013-03-20
